State,City,Score,Link,Employment -- State -- Sexual Orientation,Employment -- State -- Gender Identity,Employment -- County -- Sexual Orientation,Employment -- County -- Gender Identity,Employment -- City -- Sexual Orientation,Employment -- City -- Gender Identity,Housing -- State -- Sexual Orientation,Housing -- State -- Gender Identity,Housing -- County -- Sexual Orientation,Housing -- County -- Gender Identity,Housing -- City -- Sexual Orientation,Housing -- City -- Gender Identity,Public Accommodations -- State,Public Accommodations -- County,Public Accommodations -- City,All-Gender Single Occupancy Facilities -- State,All-Gender Single Occupancy Facilities -- County,All-Gender Single Occupancy Facilities -- City,Protects Youth From Conversion Therapy -- State,Protects Youth From Conversion Therapy -- County,Protects Youth From Conversion Therapy -- City,Non-Discrimination in City Employment -- City -- Sexual Orientation,Non-Discrimination in City Employment -- City -- Gender Identity,Transgender-Inclusive Healthcare Benefits -- City,City Contractor Non-Discrimination Ordinance -- City -- Sexual Orientation,City Contractor Non-Discrimination Ordinance -- City -- Gender Identity,Inclusive Workplace -- City,City Employee Domestic Partner Benefits -- City,Human Rights Commission -- County,Human Rights Commission -- City,Enforcement Mechanism in Human Rights Commission -- County,Enforcement Mechanism in Human Rights Commission -- City,LGBTQ Liaison in City Executive's Office -- City,Youth Bullying Prevention Policy for City Services -- City -- Sexual Orientation,Youth Bullying Prevention Policy for City Services -- City -- Gender Identity,City provides services to/supports LGBTQ youth -- City,City provides services to/supports LGBTQ homeless people -- City,City provides services to/supports LGBTQ elders -- City,City provides services to/supports people living with HIV/AIDS -- City,City provides services to/supports the transgender community -- City,LGBTQ Police Liaison or Task Force -- City,Reported 2016 Hates Crimes Statistics to the FBI -- City,Leadership's Public Position on LGBTQ Equality -- City,Leadership's Pro-Equality Legislative or Policy Efforts -- City,Openly LGBTQ elected or appointed municipal leaders -- City,City test limits of restrictive state law -- City,Non-Discrimination in City Employment -- County -- Sexual Orientation,Non-Discrimination in City Employment -- County -- Gender Identity,Transgender-Inclusive Healthcare Benefits -- County,City Contractor Non-Discrimination Ordinance -- County -- Sexual Orientation,City Contractor Non-Discrimination Ordinance -- County -- Gender Identity,Inclusive Workplace -- County,City Employee Domestic Partner Benefits -- County,LGBTQ Liaison in City Executive's Office -- County,Youth Bullying Prevention Policy for City Services -- County -- Sexual Orientation,Youth Bullying Prevention Policy for City Services -- County -- Gender Identity,City provides services to/supports LGBTQ youth -- County,City provides services to/supports LGBTQ homeless people -- County,City provides services to/supports LGBTQ elders -- County,City provides services to/supports people living with HIV/AIDS -- County,City provides services to/supports the transgender community -- County,LGBTQ Police Liaison or Task Force -- County,Reported 2016 Hates Crimes Statistics to the FBI -- County,Leadership's Public Position on LGBTQ Equality -- County,Leadership's Pro-Equality Legislative or Policy Efforts -- County,Openly LGBTQ elected or appointed municipal leaders -- County,City test limits of restrictive state law -- County
Alabama,Auburn,4,https://www.hrc.org/mei/search/alabama/auburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Birmingham,100,https://www.hrc.org/mei/search/alabama/birmingham,0,0,0,0,5,5,0,0,0,0,5,5,0,0,55,0,0,0,0,0,0,7,7,0,3,3,2,0,0,5,0,2,5,0,0,2,0,0,2,2,10,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Florence,12,https://www.hrc.org/mei/search/alabama/florence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Hoover,12,https://www.hrc.org/mei/search/alabama/hoover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Huntsville,19,https://www.hrc.org/mei/search/alabama/huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Mobile,19,https://www.hrc.org/mei/search/alabama/mobile,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Montgomery,17,https://www.hrc.org/mei/search/alabama/montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Tuscaloosa,30,https://www.hrc.org/mei/search/alabama/tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,2,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,Anchorage,84,https://www.hrc.org/mei/search/alaska/anchorage,0,0,0,0,5,5,0,0,0,0,5,5,0,0,55,0,0,0,0,0,0,7,7,6,0,0,0,0,0,5,0,2,5,0,0,0,0,0,0,0,0,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
Alaska,Fairbanks,21,https://www.hrc.org/mei/search/alaska/fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,Homer,7,https://www.hrc.org/mei/search/alaska/homer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,Juneau,86,https://www.hrc.org/mei/search/alaska/juneau,0,0,0,0,5,5,0,0,0,0,5,5,0,0,55,0,0,0,0,0,0,7,7,0,0,0,0,0,0,5,0,0,5,0,0,2,0,0,0,0,10,12,5,3,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,Ketchikan,0,https://www.hrc.org/mei/search/alaska/ketchikan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,Sitka,36,https://www.hrc.org/mei/search/alaska/sitka,0,0,0,0,5,5,0,0,0,0,5,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,Wasilla,12,https://www.hrc.org/mei/search/alaska/wasilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Avondale,28,https://www.hrc.org/mei/search/arizona/avondale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,10,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Chandler,58,https://www.hrc.org/mei/search/arizona/chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,0,0,0,5,0,2,5,0,0,0,0,0,0,0,10,12,2,0,2,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Flagstaff,88,https://www.hrc.org/mei/search/arizona/flagstaff,0,0,0,0,5,5,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,7,7,0,3,3,2,1,0,5,0,0,5,0,0,2,0,0,2,0,10,12,5,2,2,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Gilbert,55,https://www.hrc.org/mei/search/arizona/gilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,2,0,0,5,0,2,5,0,0,0,0,0,0,0,10,12,3,0,0,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Glendale,62,https://www.hrc.org/mei/search/arizona/glendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,2,0,0,5,0,0,5,0,0,2,0,0,0,0,10,12,3,3,0,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Mesa,56,https://www.hrc.org/mei/search/arizona/mesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0,10,12,5,1,2,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Peoria,23,https://www.hrc.org/mei/search/arizona/peoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Phoenix,100,https://www.hrc.org/mei/search/arizona/phoenix,0,0,0,0,4,4,0,0,0,0,5,5,0,0,44,0,0,0,0,0,0,7,7,6,3,3,2,0,0,5,0,2,5,0,0,2,2,2,0,0,10,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
Arizona,Scottsdale,64,https://www.hrc.org/mei/search/arizona/scottsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,5,0,0,5,0,0,2,2,0,2,2,10,12,4,3,2,0,,,,,,,,,,,,,,,,,,,,,
