City Id,State,State Abbreviation,Municipality,Link
1,Alabama,AL,Auburn,https://www.hrc.org/resources/municipalities/auburn-al
2,Alabama,AL,Birmingham,https://www.hrc.org/resources/municipalities/birmingham-al
3,Alabama,AL,Florence,https://www.hrc.org/resources/municipalities/florence-al
4,Alabama,AL,Hoover,https://www.hrc.org/resources/municipalities/hoover-al
5,Alabama,AL,Huntsville,https://www.hrc.org/resources/municipalities/huntsville-al
6,Alabama,AL,Mobile,https://www.hrc.org/resources/municipalities/mobile-al
7,Alabama,AL,Montgomery,https://www.hrc.org/resources/municipalities/montgomery-al
8,Alabama,AL,Tuscaloosa,https://www.hrc.org/resources/municipalities/tuscaloosa-al
9,Alaska,AK,Anchorage,https://www.hrc.org/resources/municipalities/anchorage-ak
10,Alaska,AK,Fairbanks,https://www.hrc.org/resources/municipalities/fairbanks-ak
11,Alaska,AK,Homer,https://www.hrc.org/resources/municipalities/homer-ak
12,Alaska,AK,Juneau,https://www.hrc.org/resources/municipalities/juneau-ak
13,Alaska,AK,Ketchikan,https://www.hrc.org/resources/municipalities/ketchikan-ak
14,Alaska,AK,Sitka,https://www.hrc.org/resources/municipalities/sitka-ak
15,Alaska,AK,Wasilla,https://www.hrc.org/resources/municipalities/wasilla-ak
16,Arizona,AZ,Avondale,https://www.hrc.org/resources/municipalities/avondale-az
17,Arizona,AZ,Chandler,https://www.hrc.org/resources/municipalities/chandler-az
18,Arizona,AZ,Flagstaff,https://www.hrc.org/resources/municipalities/flagstaff-az
19,Arizona,AZ,Gilbert,https://www.hrc.org/resources/municipalities/gilbert-az
20,Arizona,AZ,Glendale,https://www.hrc.org/resources/municipalities/glendale-az
21,Arizona,AZ,Mesa,https://www.hrc.org/resources/municipalities/mesa-az
22,Arizona,AZ,Peoria,https://www.hrc.org/resources/municipalities/peoria-az
23,Arizona,AZ,Phoenix,https://www.hrc.org/resources/municipalities/phoenix-az
24,Arizona,AZ,Scottsdale,https://www.hrc.org/resources/municipalities/scottsdale-az
25,Arizona,AZ,Tempe,https://www.hrc.org/resources/municipalities/tempe-az
26,Arizona,AZ,Tucson,https://www.hrc.org/resources/municipalities/tucson-az
27,Arkansas,AR,Conway,https://www.hrc.org/resources/municipalities/conway-ar
