City Id,City,State,Non-Discrimination Laws,Municipality as Employer,Municipal Services,Law Enforcement,Leadership on LGBTQ+ Equality,Flex Points,Total Score
1,Auburn,AL,0,22,0,0,0,2,24
2,Birmingham,AL,30,28,12,22,8,0,100
3,Florence,AL,0,0,0,12,0,0,12
4,Hoover,AL,0,0,0,12,0,0,12
5,Huntsville,AL,0,14,0,0,0,0,14
6,Mobile,AL,10,0,7,12,0,2,31
7,Montgomery,AL,0,14,5,10,7,4,40
8,Tuscaloosa,AL,10,26,0,12,2,2,52
9,Anchorage,AK,30,20,7,12,8,23,100
10,Fairbanks,AK,30,8,5,12,7,0,62
11,Homer,AK,30,0,0,0,5,2,37
12,Juneau,AK,30,22,10,22,8,8,100
13,Ketchikan,AK,30,14,0,0,6,30,80
14,Sitka,AK,30,0,0,0,8,30,68
15,Wasilla,AK,30,0,0,12,0,0,42
16,Avondale,AZ,10,14,5,22,3,3,57
17,Chandler,AZ,30,24,12,22,4,8,100
18,Flagstaff,AZ,30,22,10,22,7,9,100
19,Gilbert,AZ,10,16,12,22,6,11,77
20,Glendale,AZ,30,22,10,22,8,6,98
21,Mesa,AZ,30,22,10,22,8,8,100
22,Peoria,AZ,10,9,5,22,0,10,56
23,Phoenix,AZ,30,28,12,22,8,0,100
24,Scottsdale,AZ,30,26,10,22,8,4,100
25,Tempe,AZ,30,28,12,22,8,0,100
26,Tucson,AZ,30,26,7,22,8,7,100
27,Conway,AR,10,14,0,12,2,0,38
28,Eureka Springs,AR,27,14,0,0,6,3,50
29,Fayetteville,AR,0,17,7,12,8,5,49
30,Fort Smith,AR,0,14,0,12,0,2,28
31,Jonesboro,AR,0,0,0,0,0,0,0
32,Little Rock,AR,10,20,5,22,8,7,72
33,North Little Rock,AR,0,0,0,0,0,0,0
34,Springdale,AR,0,7,0,12,0,0,19
35,Anaheim,CA,30,20,5,12,5,7,79
36,Bakersfield,CA,30,7,5,12,0,4,58
37,Berkeley,CA,30,25,12,17,8,8,100
38,Brisbane,CA,30,13,0,12,0,4,59
39,Cathedral City,CA,30,28,5,22,8,7,100
40,Chula Vista,CA,30,20,10,22,7,11,100
41,Concord,CA,30,26,5,12,2,25,100
42,Corona,CA,30,13,0,12,0,9,64
43,Elk Grove,CA,30,26,5,12,5,4,82
44,Escondido,CA,30,13,0,22,0,7,72
45,Fontana,CA,30,6,0,12,0,4,52
46,Fremont,CA,30,22,12,12,5,16,97
47,Fresno,CA,30,8,0,12,5,12,67
48,Fullerton,CA,30,20,5,12,0,6,73
49,Garden Grove,CA,30,7,5,12,2,9,65
50,Glendale,CA,30,20,5,12,3,5,75
51,Guerneville (Sonoma County),CA,30,0,7,0,0,4,41
52,Hayward,CA,30,23,7,12,3,4,79
53,Huntington Beach,CA,30,7,10,22,2,5,76
54,Irvine,CA,30,28,12,22,8,0,100
55,Lancaster,CA,30,10,12,12,1,4,69
56,Long Beach,CA,30,28,12,22,8,0,100
57,Los Angeles,CA,30,26,12,22,8,2,100
58,Modesto,CA,30,7,5,12,1,5,60
59,Moreno Valley,CA,30,14,0,12,0,4,60
60,Oakland,CA,30,24,10,22,8,6,100
61,Oceanside,CA,30,26,5,22,7,10,100
62,Ontario,CA,30,6,0,12,0,4,52
63,Orange,CA,30,20,5,12,0,4,71
64,Oxnard,CA,30,7,5,12,0,6,60
65,Palm Desert,CA,30,24,5,22,5,11,97
66,Palm Springs,CA,30,28,10,22,8,2,100
67,Palmdale,CA,30,28,12,12,3,15,100
68,Pasadena,CA,30,25,10,12,6,17,100
69,Pomona,CA,30,23,0,12,2,9,76
70,Rancho Cucamonga,CA,30,20,0,12,0,5,67
71,Rancho Mirage,CA,30,26,5,22,7,10,100
72,Richmond,CA,30,19,7,22,7,11,96
73,Riverside,CA,30,28,10,22,5,5,100
74,Sacramento,CA,30,28,5,22,6,9,100
75,Salinas,CA,30,19,0,12,0,4,65
76,San Bernardino,CA,30,7,0,12,0,4,53
77,San Diego,CA,30,28,12,22,8,0,100
78,San Francisco,CA,30,28,7,22,8,5,100
79,San Jose,CA,30,26,7,22,8,7,100
80,Santa Ana,CA,30,26,5,12,6,6,85
81,Santa Clarita,CA,30,13,5,12,0,9,69
82,Santa Monica,CA,30,28,10,22,8,2,100
83,Santa Rosa,CA,30,22,5,12,2,7,78
84,Signal Hill,CA,30,20,10,22,5,13,100
85,Stockton,CA,30,14,0,22,1,4,71
86,Sunnyvale,CA,30,20,12,12,6,18,98
87,Thousand Oaks,CA,30,20,0,12,1,5,68
88,Torrance,CA,30,6,5,12,0,4,57
89,Vallejo,CA,30,23,5,12,5,7,82
90,Visalia,CA,30,14,5,22,3,4,78
91,West Hollywood,CA,30,28,12,12,8,10,100
92,Aspen,CO,30,28,0,22,4,16,100
93,Aurora,CO,30,20,5,22,2,5,84
94,Boulder,CO,30,20,12,22,8,8,100
95,Colorado Springs,CO,30,19,5,22,2,3,81
96,Denver,CO,30,26,12,22,8,2,100
97,Fort Collins,CO,30,28,12,22,8,0,100
98,Lakewood,CO,30,14,0,12,0,11,67
99,Littleton,CO,30,22,0,12,2,2,68
100,Bridgeport,CT,24,0,0,12,4,2,42
101,Fairfield,CT,24,7,0,12,1,2,46
102,Hartford,CT,30,22,10,22,7,9,100
103,New Britain,CT,30,14,7,22,8,10,91
104,New Haven,CT,30,20,7,22,4,10,93
105,Norwalk,CT,30,22,7,22,7,12,100
106,Stamford,CT,30,28,12,22,8,0,100
107,Storrs (Mansfield),CT,24,14,5,12,0,6,61
108,Waterbury,CT,29,20,7,12,1,4,73
109,Bethany Beach,DE,28,13,0,12,0,2,55
110,Dover,DE,28,17,5,12,0,2,64
111,Middletown,DE,28,0,0,0,0,2,30
112,Milford,DE,28,20,5,12,5,2,72
113,Newark,DE,28,14,0,12,1,2,57
114,Rehoboth Beach,DE,30,14,0,12,1,12,69
115,Smyrna,DE,28,0,0,12,0,3,43
116,Wilmington,DE,30,17,12,12,6,11,88
117,Cape Coral,FL,27,15,0,12,6,1,61
118,Coral Gables,FL,30,21,12,22,4,11,100
119,Daytona Beach,FL,30,0,0,0,0,24,54
120,Fort Lauderdale,FL,30,23,12,22,8,5,100
121,Gainesville,FL,30,17,12,22,8,11,100
122,Hialeah,FL,30,7,7,12,0,20,76
123,Hollywood,FL,30,23,12,22,6,7,100
124,Jacksonville,FL,30,14,7,22,6,19,98
125,Miami Shores,FL,30,21,12,22,7,8,100
126,Miami,FL,30,16,12,22,8,12,100
127,Oakland Park,FL,30,22,12,22,8,6,100
128,Orlando,FL,30,23,12,22,8,5,100
129,Pembroke Pines,FL,30,20,12,12,5,21,100
130,Port Saint Lucie,FL,27,16,5,22,5,0,75
131,St. Petersburg,FL,30,23,12,22,8,5,100
132,Tallahassee,FL,30,17,10,22,0,21,100
133,Tampa,FL,30,21,12,22,8,7,100
134,Wilton Manors,FL,30,23,12,22,8,5,100
135,Athens Clarke County,GA,30,0,5,0,0,0,35
136,Atlanta,GA,30,28,12,22,8,0,100
137,Augusta Richmond County,GA,30,0,5,0,0,0,35
138,Avondale Estates,GA,30,14,0,0,4,0,48
139,Columbus,GA,0,22,10,22,7,2,63
140,Decatur,GA,30,28,10,22,8,2,100
141,North Druid Hills (Dekalb County),GA,30,0,0,0,0,0,30
142,Roswell,GA,5,0,0,0,0,0,5
143,Sandy Springs,GA,5,8,0,12,8,0,33
144,Savannah,GA,30,22,5,10,8,5,80
145,Hawaii County,HI,28,0,0,0,0,2,30
146,Honolulu County,HI,30,0,0,0,0,20,50
147,Kalawao County,HI,28,0,0,0,0,2,30
148,Kauai County,HI,28,0,0,0,0,2,30
149,Maui County,HI,28,0,0,0,0,2,30
150,Boise,ID,27,17,0,22,5,2,73
151,Coeur d'Alene,ID,27,14,5,12,3,0,61
152,Idaho Falls,ID,22,14,0,12,3,0,51
153,Meridian,ID,22,14,0,12,2,0,50
154,Moscow,ID,27,14,5,12,3,1,62
155,Nampa,ID,0,0,0,12,1,0,13
156,Pocatello,ID,27,14,5,12,0,0,58
157,Aurora,IL,30,20,12,22,6,10,100
158,Carbondale,IL,30,21,10,0,8,18,87
159,Champaign,IL,30,22,12,22,6,8,100
160,Chicago,IL,30,26,12,22,8,2,100
161,Joliet,IL,30,7,0,22,2,4,65
162,Naperville,IL,30,22,12,22,1,13,100
163,Peoria,IL,30,18,7,12,0,22,89
164,Rockford,IL,30,28,10,22,8,2,100
165,Springfield,IL,30,13,7,12,5,20,87
166,Bloomington,IN,30,23,12,22,8,5,100
167,Evansville,IN,30,20,12,22,4,12,100
