Aberdeen,South Dakota,45.4646985,-98.4864829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Akron,Ohio,41.0814447,-81.5190053,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,10,5,0,3,2,0,0,0,0,0,0,3,0,0,3,5,2,0,0,3,0,0,48
Albany,New York,42.6525793,-73.7562317,3,0,3,3,0,3,3,0,3,12,0,0,0,12,0,5,4,2,2,2,0,0,0,2,7,0,3,0,3,2,8,10,5,2,3,2,0,0,0,3,0,0,3,0,0,3,5,2,3,0,3,27,0,99
Albuquerque,New Mexico,35.110703,-106.609991,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,4,2,2,0,0,0,0,0,7,0,3,0,3,2,0,10,3,1,3,2,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,21,0,62
Alexandria,Virginia,38.8048355,-77.0469214,0,0,3,0,0,3,0,0,3,0,0,0,0,0,2,5,0,0,0,2,0,0,0,2,7,5,0,0,3,2,8,10,5,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Allentown,Pennsylvania,40.6084305,-75.4901833,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,5,4,2,2,0,0,0,0,0,7,0,0,0,0,2,0,0,5,3,0,2,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,50
Amarillo,Texas,35.2219971,-101.8312969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16
Amherst,Massachusetts,42.366667,-72.516667,3,0,0,3,0,0,3,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,10,2,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,30,0,49
Anaheim,California,33.8352932,-117.9145036,3,0,0,3,0,0,3,0,0,12,0,12,0,0,0,5,4,2,2,0,0,0,0,2,0,0,3,0,0,0,0,10,0,0,0,2,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,48,0,63
Anchorage,Alaska,61.2180556,-149.9002778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,7,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Ann Arbor,Michigan,42.2808256,-83.7430378,0,0,3,0,0,3,0,0,3,0,0,0,0,12,0,5,4,0,2,2,0,0,4,0,7,0,0,0,0,2,0,10,5,3,3,2,2,0,0,3,0,0,3,0,0,3,5,2,0,0,0,0,0,88
Annapolis,Maryland,38.9784453,-76.4921829,3,0,0,3,0,3,3,0,3,12,0,0,0,0,0,5,4,2,2,0,0,0,0,2,7,0,3,3,0,2,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,3,70
Arlington,Texas,32.735687,-97.1080656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Arlington County,Virginia,38.8816208,-77.0909809,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,2,0,0,0,2,7,5,0,3,0,2,8,10,5,3,3,2,2,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,6,76
Asbury Park,New Jersey,40.2203907,-74.0120817,3,0,0,3,0,0,3,0,0,0,12,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,0,0,0,0,10,0,0,3,2,0,3,0,0,3,0,0,3,0,0,0,2,3,0,0,36,0,59
Athens,Georgia,33.95,-83.3833333,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,6,44
Atlanta,Georgia,33.7489954,-84.3879824,0,0,3,0,0,3,0,0,3,0,0,0,0,12,0,5,4,0,0,2,4,0,0,0,7,5,0,0,3,0,8,10,5,3,3,2,0,0,0,3,0,0,3,0,0,3,5,2,0,0,3,0,0,100
Augusta,Maine,44.3106241,-69.7794897,3,0,0,3,0,0,3,0,0,12,0,0,0,0,0,5,4,2,2,0,0,0,0,0,0,0,3,0,3,0,0,10,0,0,3,0,0,3,0,0,3,0,0,3,0,0,5,0,3,0,0,36,0,67
Augusta-Richmond,Georgia,33.4734978,-82.0105148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Aurora,Colorado,39.7294319,-104.8319195,3,0,0,3,0,0,3,0,0,0,12,0,0,0,0,5,4,2,2,0,0,0,0,0,7,0,3,0,3,0,0,10,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,36,0,66
Aurora,Illinois,41.7605849,-88.3200715,3,0,1,3,0,0,3,0,0,0,12,0,0,0,0,5,4,2,2,0,0,0,0,0,7,0,3,0,3,0,0,10,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,36,0,66
Austin,Texas,30.267153,-97.7430608,0,0,3,0,0,3,0,0,3,0,0,0,12,12,0,5,4,2,2,2,0,0,0,2,7,5,0,0,3,2,4,10,5,3,3,2,2,0,0,3,0,0,3,0,0,3,5,2,0,0,0,0,12,100
Avondale Estates,Georgia,33.7714939,-84.2671444,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,2,0,5,0,3,3,0,8,0,5,3,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,6,56
Bakersfield,California,35.3732921,-119.0187125,3,0,0,3,0,0,3,0,0,12,0,12,0,0,0,0,4,2,0,0,0,0,0,0,7,0,3,0,3,0,0,10,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,48,0,59
Baltimore,Maryland,39.2903848,-76.6121893,3,3,3,3,3,3,3,3,3,12,0,0,0,0,0,5,4,2,2,0,0,0,0,2,7,5,3,0,3,2,8,10,5,3,3,2,0,0,3,3,0,3,3,0,3,3,5,0,3,0,3,27,18,100
Bangor,Maine,44.8011821,-68.7778138,3,0,3,3,0,3,3,0,3,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,2,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,36,0,48
Baton Rouge,Louisiana,30.4582829,-91.1403196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bellevue,Nebraska,41.1586111,-95.9341667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
Berkeley,California,37.8715926,-122.272747,3,0,3,3,0,3,3,0,3,12,0,12,0,12,0,5,4,2,2,2,4,0,4,2,7,0,3,0,3,2,0,10,5,3,3,2,0,3,0,0,3,0,0,3,0,0,0,2,3,0,3,48,0,95
Billings,Montana,45.7832856,-108.5006904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Birmingham,Alabama,33.5206608,-86.80249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
Bismarck,North Dakota,46.8083268,-100.7837392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Bloomington,Indiana,39.165325,-86.5263857,0,0,3,0,0,3,0,0,3,0,0,0,0,12,2,5,4,2,0,0,0,0,0,0,7,0,0,0,3,0,0,10,5,2,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,70
Boise,Idaho,43.6187102,-116.2146068,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,3,0,2,0,0,0,3,0,0,3,0,0,3,5,0,0,0,0,0,0,56
Boston,Massachusetts,42.3584308,-71.0597732,3,0,3,3,0,3,3,0,3,12,0,0,0,0,0,5,4,2,0,2,4,0,0,2,7,5,0,0,0,2,8,10,5,3,3,2,0,3,0,3,3,0,3,3,0,3,5,2,0,0,0,30,0,100
Boulder,Colorado,40.0149856,-105.2705456,3,0,3,3,0,3,3,0,3,0,12,0,0,12,0,5,4,2,2,2,0,0,0,2,7,0,3,0,0,2,4,10,2,0,0,2,0,3,0,3,3,0,3,3,0,3,5,2,3,0,0,36,0,87
Bowling Green,Kentucky,36.9903199,-86.4436018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Bridgeport,Connecticut,41.1865478,-73.1951767,3,0,0,3,0,0,3,0,0,12,0,0,0,0,0,0,4,2,0,0,0,0,0,0,7,0,3,0,3,0,0,10,2,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,36,0,61
Brisbane,California,37.6807661,-122.3999715,3,0,0,3,0,0,3,0,0,12,0,12,0,0,0,5,4,2,2,0,0,0,0,2,0,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,48,0,61
Brookings,South Dakota,44.3113573,-96.7983877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,0,0,0,0,0,7,0,0,0,3,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34
Brownsville,Texas,25.9017472,-97.4974838,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,3,0,0,3,0,0,3,5,0,0,0,3,0,0,38
Buffalo,New York,42.8864468,-78.8783689,3,0,3,3,0,3,3,0,3,12,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0,10,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,27,0,52
Burlington,Vermont,44.4758825,-73.212072,3,0,0,3,0,3,3,0,3,12,0,0,0,0,0,5,4,2,0,0,0,0,0,2,0,0,3,0,3,0,0,10,4,0,3,2,0,3,0,0,3,0,0,3,0,0,5,0,3,0,3,36,0,73
Cambridge,Massachusetts,42.3736158,-71.1097335,3,0,3,3,0,3,3,0,3,12,0,0,0,12,0,5,4,2,0,2,0,3,0,2,7,5,0,0,3,2,8,10,5,3,0,2,0,3,0,3,3,0,3,3,0,3,5,2,0,0,0,30,0,100
Cape Coral,Florida,26.5628537,-81.9495331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Carson City,Nevada,39.1637984,-119.7674034,3,0,0,3,0,0,3,0,0,0,0,12,0,0,0,5,4,2,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,5,0,0,0,0,30,0,55
Casper,Wyoming,42.866632,-106.313081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Cathedral City,California,33.7797426,-116.4652911,3,0,3,3,0,3,3,0,3,12,0,12,0,12,0,5,4,2,2,2,0,0,4,0,0,5,3,3,0,2,4,10,5,1,3,2,0,3,0,0,3,0,0,3,0,0,5,0,3,3,0,48,6,92
Cedar Rapids,Iowa,41.9778795,-91.6656232,3,0,3,3,0,3,3,0,3,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,10,0,0,0,0,0,3,0,3,3,0,3,3,0,3,5,0,3,0,0,36,0,63
Champaign,Illinois,40.1164204,-88.2433829,3,0,3,3,0,3,3,0,3,0,12,0,12,0,0,5,4,2,2,0,0,0,0,0,7,0,3,0,3,0,0,10,3,0,0,0,0,3,0,0,3,0,0,3,0,0,5,0,3,0,0,36,12,74
Chandler,Arizona,33.3061605,-111.8412502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Charleston,South Carolina,32.7765656,-79.9309216,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,10,3,1,3,2,0,0,0,0,0,0,3,0,0,3,5,0,0,3,0,0,6,54
Charleston,West Virginia,38.3498195,-81.6326234,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,2,0,0,0,2,7,0,0,3,0,0,0,10,2,3,0,0,2,0,0,3,0,0,3,0,0,3,5,2,0,3,0,0,6,64
Charlotte,North Carolina,35.2270869,-80.8431267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,7,0,3,0,0,2,0,10,4,1,3,2,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,6,0,51
Chattanooga,Tennessee,35.0456297,-85.3096801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Chesapeake,Virginia,36.7682088,-76.2874927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cheyenne,Wyoming,41.1399814,-104.8202462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Chicago,Illinois,41.8781136,-87.6297982,3,3,3,3,3,3,3,3,3,0,12,0,0,0,0,5,4,2,0,2,0,0,0,2,7,5,3,0,3,2,8,10,5,3,3,2,0,3,3,3,3,3,3,3,3,3,5,2,3,0,3,36,18,100
Chula Vista,California,32.6400541,-117.0841955,3,0,0,3,0,0,3,0,0,12,0,12,0,0,0,5,4,2,0,0,0,0,0,2,0,0,3,0,0,0,0,10,2,0,0,0,0,3,0,0,3,0,0,3,0,0,5,0,3,0,0,48,0,66
Cincinnati,Ohio,39.1031182,-84.5120196,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,5,4,2,0,2,0,0,0,2,7,5,0,0,3,2,8,10,5,3,3,2,2,0,0,3,0,0,3,0,0,3,5,2,0,0,0,0,0,90
Cleveland,Ohio,41.4994954,-81.6954088,0,0,3,0,0,3,0,0,3,0,0,0,0,12,0,5,4,2,0,2,4,0,0,0,7,0,0,0,0,2,0,10,5,3,0,2,0,0,0,3,0,0,3,0,0,3,5,2,0,0,0,0,0,83
College Park,Maryland,38.9896967,-76.93776,3,0,0,3,0,0,3,0,0,12,0,0,0,0,0,5,4,2,0,0,0,0,0,2,0,0,3,0,3,0,0,0,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,27,0,62
Colorado Springs,Colorado,38.8338816,-104.8213634,3,0,0,3,0,0,3,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,3,0,0,2,0,10,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,36,0,60
Columbia,Missouri,38.9517053,-92.3340724,0,0,3,0,0,3,0,0,3,0,0,0,0,12,0,5,4,2,2,0,0,0,0,2,7,0,0,0,0,2,0,10,2,3,0,0,0,0,0,3,0,0,3,0,0,3,5,0,0,0,0,0,0,74
Columbia,South Carolina,34.0007104,-81.0348144,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,5,0,0,0,2,8,10,5,2,3,2,0,0,0,0,0,3,3,0,3,3,5,0,0,0,0,0,12,61
Columbus,Georgia,32.4609764,-84.9877094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20
Columbus,Ohio,39.9611755,-82.9987942,0,0,3,0,0,3,0,0,3,0,0,0,0,12,0,5,4,2,2,2,0,0,0,2,7,5,0,0,3,2,4,10,5,3,3,2,0,0,0,3,0,0,3,0,0,3,5,2,0,0,3,0,0,100
Concord,California,37.9779776,-122.0310733,3,0,0,3,0,0,3,0,0,12,0,12,0,0,0,0,4,2,2,0,0,0,0,2,7,0,3,0,0,2,0,10,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,48,0,68
Concord,New Hampshire,43.2081366,-71.5375718,3,0,0,3,0,0,3,0,0,12,0,0,0,0,0,5,4,2,0,0,0,0,0,2,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,27,0,55
Corpus Christi,Texas,27.8005828,-97.396381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Cranston,Rhode Island,41.7798226,-71.4372796,3,0,0,3,0,0,3,0,0,12,0,0,0,0,0,5,4,0,2,2,4,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,3,0,0,3,0,0,3,0,0,5,2,0,0,0,30,0,67
Dallas,Texas,32.7801399,-96.8004511,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,5,4,2,0,2,4,0,0,2,0,5,0,0,3,2,8,10,3,2,3,2,0,0,3,3,0,0,3,0,0,3,5,2,0,0,3,0,6,85
Davenport,Iowa,41.5236437,-90.5776367,3,0,3,3,0,3,3,0,3,12,0,0,0,0,0,5,4,2,2,2,0,0,0,0,7,5,3,0,3,0,0,10,5,0,3,2,0,3,0,3,3,0,3,3,0,3,5,2,3,0,3,36,0,90
Decatur,Georgia,33.7748275,-84.2963123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,27
Denver,Colorado,39.737567,-104.9847179,3,0,3,3,0,3,3,0,3,0,12,0,0,12,0,5,4,2,0,0,0,0,0,2,7,5,3,0,0,2,8,10,5,3,3,2,0,3,0,3,3,0,3,3,0,3,5,0,3,0,0,36,0,99
Des Moines,Iowa,41.6005448,-93.6091064,3,0,3,3,0,3,3,0,3,12,0,0,0,0,0,5,4,2,2,0,0,0,0,2,7,0,3,0,3,0,8,10,4,3,3,2,0,3,0,3,3,0,3,3,0,3,0,0,3,0,3,36,0,88
